steps     success_rate  successes
--------  ------------  ---------
1000      46.0%         46/100   
2000      39.0%         39/100   
3000      56.0%         56/100   
4000      49.0%         49/100   
5000      43.0%         43/100   
8000      43.0%         43/100   
9000      52.0%         52/100   
10000     42.0%         42/100   
12000     40.0%         40/100   
15000     45.0%         45/100   
20000     47.0%         47/100   
25000     50.0%         50/100   
30000     46.0%         46/100   
35000     44.0%         44/100   
40000     50.0%         50/100   
45000     48.0%         48/100   
50000     50.0%         50/100   
55000     49.0%         49/100   
60000     47.0%         47/100   
65000     47.0%         47/100   
70000     47.0%         47/100   
75000     45.0%         45/100   
80000     51.0%         51/100   
85000     48.0%         48/100   
90000     50.0%         50/100   
95000     48.0%         48/100   
100000    49.0%         49/100   
